label,paragraph
Academics,"Associate Professor Song has expanded the Business Intelligence Group, a student consultancy group associated with IS 514."
Academics,MSLIS student and ALA Spectrum Scholar Reynoso was drawn to the iSchool because of its flexible curriculum.
Academics,Professor Downie gave the keynote for the 2023 ACM SIGIR Conference on Human Information Interaction and Retrieval.
Academics,"COURSE LOADS AND OVERLOADS
The normal course load varies depending on the student's situation. For example, for a student who is devoting full time to an academic program (i.e., who is not employed as a teaching assistant or otherwise), the normal course load might be 16 hours in a semester and 8 hours in a summer session. Students who are employed (as assistants or in outside work), of course, will have smaller normal loads. For a person holding a half-time assistantship, for example, a normal load would be 8-12 hours per semester and 4-8 hours in the summer."
Academics,The maximum number of hours a student can take in a given term depends on the level of the student's University appointment (if any) according to the table below. These maxima cannot be exceeded except under unusual circumstances; a petition to the Graduate College is required at the time of registration for approval of an overload.
Academics,"Persons holding a Graduate College or University Fellowship must enroll for a minimum of 12 hours during a semester, and must enroll for at least 4 hours during Summer 2 term. Specific information about the Graduate College definitions of course loads may by found in the Graduate College Handbook
here
."
Academics,"EXCUSED GRADES: INCOMPLETE AND F-BY-RULE
It is possible for graduate students to receive I (Incomplete) grades in courses in which they are enrolled, but whether an I grade is received in a given case is a matter between the student and the instructor. Some faculty, for example, have a policy of not giving I grades, and hence students should not presume the availability of such grades. When an I grade has been received, a grade must be reported by the instructor not later than reading day at the end of the next regular semester. If a grade is not reported by the deadline, the I grade automatically converts to a grade of F-by-rule (as distinguished from an ""earned"" grade of F). For details on the general policy of the Graduate College with respect to this matter, see The Graduate College Handbook; for the specific deadlines in a given semester. See the university calendar (follow the calendar links from the Graduate College
here
)."
Academics,"Save in exceptional circumstances, the department
will not
approve requests seeking: (a) the extension of the deadline for reporting a grade to replace an I grade, (b) the replacement of an F-by-rule grade with some other grade, or (c) the retroactive withdrawal from a course in which an I or F-by-rule grade is in place. The import of this departmental policy is that students receiving I grades should take care to ensure that the necessary work is completed in a timely fashion so that a grade can be reported before the deadline. The deadline cannot be extended, and if the deadline is not met, then the resulting F-by-rule grade is in place forever and ever."
Academics,"Note: in a few non-thesis courses (such as CMN 595, the independent study course), it is possible to receive either a DFR (Deferred) grade or an I (Incomplete) grade. But in such courses, the two grades function identically--same time limits for grade reporting, same automatic conversion to F-by-rule, etc. Thus, everything said above about I grades (including the department's policy on deadline extensions, etc.) also applies to DFR grades received in non-thesis courses. (DFR grades received in the thesis course, CMN 599, are another kettle of fish altogether; those DFR grades never convert to F-by-rule grades, but instead remain as DFR grades until the thesis/dissertation defense is held.)"
Academics,"CMN 595 and 599
CMN 595 is used for two purposes: Independent studies and Preliminary Exams. Independent Studies involve work on a topic or project that is not related to a thesis or dissertation. Students register for these using the CRN of the faculty member who is directing the independent work."
Academics,"Preliminary exams are graded using the 595 option. Prior to the semester when Ph.D. students plan to defend their preliminary examinations, they generally should register for 8 hours of CMN 595 using their advisor's CRN. They should also register for 4 hours of 599 to get their total number of hours to 12."
Academics,"Whether it is for an independent study or preliminary exams, if you take a DFR or I in CMN 595, you must complete the work and your instructor must submit a grade change before reading day of the following semester, or your grade will automatically convert to a grade of F-by-rule."
Academics,"CMN 599 is used for dissertation research. Most Ph.D. students done with course work should enroll in 12 hours of CMN 599. If you are taking one other course, you can enroll for 8 hours. The key is to get the total to 12 hours. If you are in residence and still on assistantship, you must register every semester for CMN 599 while working toward your degree. Generally speaking, if you are done with classes you should always enroll for 12 hours of CMN 599; the one exception is during the semester in which you defend your preliminary exams. Then, you'll enroll for 8 hours of 595 plus 4 hours of CMN 599 as explained above."
Academics,"ANNUAL REVIEWS
The Graduate College requires programs to conduct annual reviews of all graduate students in the program. The annual review is an important component of your graduate education, because it allows you, your advisor, and other faculty to share information and allows you to receive useful, timely feedback about your academic development and performance. In late March of each year, you will be asked to send a CV to your advisor and to fill out a PDF form outlining your activities over the past year. After the faculty meets for the annual review, your advisor will fill out and sign the advisor portion of the form and provide you with a copy for feedback. Your advisor may also schedule a one-on-one meeting to talk with you about the results of the review. A copy of each year’s form will also be placed in your department file.
Annual Review Form for MA students
Annual Review Form for PhD students"
Academics,"Illinois has tremendous breadth and depth in academics, with more than 150 undergraduate and more than 100 graduate and professional programs."
Academics,"On the strength of our pre-eminent faculty, many academic programs are ranked among the best in the world. This emphasis on campuswide academic excellence has built Illinois' reputation as one of the nation's premier public universities."
Academics,"First-year applicants can choose to apply to UIUC in one of two ways:
myIllini or Common App
. We don't give preference based on your application type. Only one first-year application is permitted per applicant, and the first submitted application is considered official."
Academics,"Application deadlines can be found on our
dates
page."
Academics,"The early action admission filing period is explained on our
dates
page."
Academics,"Admit rates vary depending on your college or program of study. View our
admit rates
."
Academics,"No, we don’t accept letter of recommendation or other unsolicited materials. An audition, portfolio, or interview may be required for Fine and Applied Arts applicants. See our
application process
for more details."
Academics,"We won’t consider your application complete and won’t process it until we receive an application fee or an authorized fee waiver submitted by your high school counselor. If you submit the fee when you submit your application, we strongly encourage you to pay by credit card. If you choose to pay later, you can pay by credit card through your status page in
myIllini
."
Academics,Approximately 26% of our undergraduates are not from Illinois. These students are evaluated against the same criteria used for in-state students.
Academics,"If you apply through myIllini, you’ll be asked to enter your courses and grades for years 9 to 11 as they appear on your official high school transcript. You’ll also be asked to enter your courses in progress for year 12."
Academics,"If you submitted the Common App, we'll email you with a link to your Self-Reported Academic Record (SRAR), where you'll add your courses and grades. We are not able to use the courses and grades you reported in the Common App."
Academics,"You must have your high school transcript with you when self-reporting your courses and grades, entering all information exactly as it appears on your document. All semester, trimester, or quarter grades must be listed. Don’t average grades."
Academics,"Yes, ACT/SAT scores are optional for all first-year applicants, including international students, homeschooled students, and recruited student-athletes. Recruited student-athletes are still required to satisfy all initial eligibility requirements set forth by the NCAA Eligibility Center."
Academics,"If you report ACT/SAT scores and have not completed at least three full years of secondary education in an approved country where English is the official language,* you are strongly encouraged to submit TOEFL iBT, IELTS, or Duolingo English Test scores regardless of citizenship or residency."
Academics,"Test scores that will be used to fulfill the English proficiency requirement must be taken within two years of the applicant’s date of enrollment in the university. The Duolingo English Test, the TOEFL iBT Special Home Edition, and the IELTS Indicator will be accepted for fall 2023, but a decision has not been made for future terms."
Academics,Find information about how to submit transcripts to transfer academic credit from another institution to the University of Illinois at Urbana-Champaign and what coursework will transfer.
Academics,Kontou's project will advance the science of bidirectional electric vehicle and infrastructure technologies management.
Academics,"Civil and environmental engineers are at the forefront of solving some of the most pressing issues facing society, and CEE at Illinois is training the next generation of experts."
Academics,"The CEE at Illinois undergraduate program is consistently ranked as one of the best in the nation. Here, undergraduates will find a supportive, welcoming environment where they can engage directly with faculty, conduct hands-on research, participate in CEE-related student organizations and connect with a robust alumni network. CEE at Illinois is a premiere program for those interested in making a positive, tangible impact on society."
Academics,"CEE at Illinois offers M.S. and Ph.D. degrees in a variety of specialized areas. From autonomous vehicles to environmental microbiology and everything in-between, opportunities abound to conduct cutting-edge research that has a real-world impact. Thanks to our top-ranked program known around the world for its excellence, CEE at Illinois graduates are in high demand and primed to become leaders in their field."
Academics,"At Gies, everything we do is designed to help you connect the dots between your education and a purposeful future. Our programs encourage big thinking and big ideas. Our faculty and staff guide you to think beyond the possible. Your fellow students challenge your assumptions and help you invent new ways to make a difference."
Academics,"The purpose of the Gies College of Business is to provide an educational experience that will help students develop their potential for leadership and service in business, government, teaching, and research. The undergraduate curricula provide a study of the basic aspects of business and preparation for careers in fields such as accounting, business management, banking, insurance, and marketing."
Academics,"The curricula, leading to the Bachelor of Science degrees in the various degree programs in business, are based on 124 hours of college work. Students are required to elect courses in other colleges of the University, including mathematics, rhetoric, humanities and the arts, speech, and natural and behavioral sciences, and to secure as liberal an education as possible to avoid the narrowing effects of overspecialization."
Academics,"The Gies College of Business offers graduate and professional programs in business areas. Detailed information on graduate programs may be obtained from the Graduate College or visit
our web site
."
Academics,Applicants must meet general University requirements as well as those specified by the Gies College of Business.
Academics,"Students transferring from other institutions must have met the requirements specified by the college. See our
web site
and the Illinois
Office of Undergraduate Admissions
for further information."
Academics,The ALEKS Math Placement Exam is used to place the students in the appropriate math course. The results of the test are used to place students in or to exempt them from algebra and allow them to enroll in a mathematics course required for graduation (see below).
Academics,"Each candidate for a degree must have a 2.0 (A = 4.0) grade point average or above for all courses counted toward graduation, a 2.0 grade point average or above for all courses taken at this University, a 2.0 grade point average or above for all courses taken in the major or field of concentration, and a 2.0 grade point average or above for courses taken in the major or field of concentration at this University."
Academics,"Students are responsible for meeting the requirements for graduation. Therefore, students should familiarize themselves with the requirements listed in this catalog and other information in the Office of Undergraduate Affairs, 1055 Business Instructional Facility, and should refer to them each time they plan their programs. The Gies College of Business requires that undergraduate degrees be completed in nine semesters or less. If you need assistance with course planning, consult the Office of Undergraduate Affairs."
Academics,"Any one of the MATH courses described below meets the Gies College of Business requirement. The most appropriate mathematics course depends on the student's background, interest, motivation, and objectives. Background can be evaluated in terms of mathematics courses already completed and the student's score on the ALEKS Math Placement Exam. Interest, motivation, and objectives must be determined by the student. Courses include MATH 115, MATH 220, MATH 221, MATH 231, MATH 234 (recommended for all students with an ALEKS score of 65 or higher), and STAT 100."
Academics,"Honors, designated on diplomas, are awarded to superior students as follows: for graduation with honors, a minimum grade point average of 3.5 (A = 4.0) in all courses accepted toward the student's degree; for graduation with high honors, a minimum grade point average of 3.75 in all courses accepted toward the degree; and for graduation with highest honors, a minimum grade point average of 3.90 in all courses accepted toward the degree. To qualify for graduation honors, transfer students' University of Illinois at Urbana-Champaign and total cumulative grade point averages both must qualify."
Academics,"Normally, students must register for no fewer than 12 hours or more than 18 hours in each semester. Students should take mathematics, economics, and accountancy courses in the semesters indicated in the sample schedule of courses. The computer science course should be taken during the first year. The computer science requirement no longer allows ACE 161 as an equivalent course."
Academics,"Undergraduate instruction in the Gies College of Business is organized under the Departments of Accountancy, Business Administration, and Finance. Each of these departments offers courses that provide one or more curricula that a student may elect. These curricula lead to Bachelor of Science degrees in the various fields of study in the college and are designed to encourage each student to fully realize his or her intellectual promise. There can be changes to curricular requirements and new course offerings."
Academics,"As a student working toward a bachelor's degree at Gies, you will take part in the
Cohort Sequence
that consists of four foundational courses in professional responsibility, business dynamics, business in action, and global business."
Academics,"At Gies College of Business, our faculty teach a curriculum based on putting purpose to practice while conducting and applying rigorous research to contemporary business problems. Our approachable faculty are leaders in their fields – many with decades of industry experience - who set the standards of excellence in their research, teaching, and mentoring."
Academics,"The program welcomes current and future business leaders from varied backgrounds, including the arts, sciences, music, engineering, finance, accounting, consulting, marketing, medicine, military, and more. No GMAT required."
Academics,"The iMBA is career-focused. Students develop leadership and management skills that help them thrive in today’s business environment. Enjoy challenging team-based projects, face-to-face class sessions with faculty and peers, and the ability to customize your curriculum by choosing which courses best fit your needs."
Academics,"This concentration fulfills state certification requirements to teach high school history (grades 9-12) through the AP/honors level and high school economics, geography, political science, psychology, and sociology/anthropology up to but not including the AP/honors level."
Academics,"Time to degree completion varies. Minimum time to completion is 8 semesters, but some students may require 10 semesters. Transfer students may need 10 total semesters combined to complete the program. Please see the
LAS section in the transfer handbook
for more information."
Academics,The University of Illinois at Urbana-Champaign has determined that our curriculum meets the educational requirements for licensure or certification in the state of Illinois. We are unable to determine if the curriculum meets the educational requirements for any of the remaining U.S. states and jurisdictions. Please go to the
Academics,"Studies in language, composition, and literature requiring practice in expository writing. Coursework should emphasize reading, writing, speaking, and listening."
Academics,"Algebra, geometry, advanced algebra, trigonometry, pre-calculus, calculus, and statistics. Applied business math, pre-algebra, computer processing, and information technology courses aren't acceptable. At least 3.5 years of math, including trigonometry or higher, are required for admission to the following:"
Academics,"History and government. Additional acceptable social studies include anthropology, economics, geography, philosophy, political science, psychology, and sociology."
Academics,"Lab courses in biology, chemistry, and physics. Lab courses in agricultural sciences, astronomy, and geology are also acceptable. General science is not acceptable."
Academics,Completion through the second level of any 1 language other than English. American Sign Language is acceptable.
Academics,"At least 2 years of coursework in any of the above subject categories. Approved art, music, or vocational education courses may be counted in this category."
Academics,"State-of-the-art classrooms, research opportunities with leaders in the field, plus funded study abroad and outreach opportunities—Secondary Education programs equip candidates with the knowledge and skills needed to lead. With a focus on diversity, technology, field work and research, this program produces candidates who are in demand."
Academics,"Undergraduates receive a Bachelor of Arts in Liberal Arts & Sciences: Major in History, History Teaching Concentration and a Minor in Secondary Education with educator licensure. At the graduate level, candidates complete a Master of Education in Secondary Education with educator licensure."
Academics,"Taking advanced classes can increase your chance of being accepted to UIUC, as tougher coursework proves you like a challenge and are willing to work hard. Taking rigorous coursework in subject areas related to your future major also demonstrates an interest and strong foundation in your future academic track. We want you to challenge yourself given what’s available at your school, provided you can still be successful inside and outside of the classroom."
Academics,"Professors
Claudia Brosseder
,
Teri Chettiar
,
Jerry Dávila
,
Rana A Hogarth
,
Bob Morrissey
,
Leslie J. Reagan
,
David Sepkoski
, and
Roderick Wilson
are the core faculty in the field. They direct graduate research in the histories of public health, medicine, psychiatry, biology, environmental science, media and film, data and information technology, global science, and science and health policy. The department has particular strength in exploring ways in which subjective values about gender, race, sexuality, and class have shaped the histories of science, technology and medicine, as well as the influences of scientific and medical thought in shaping lived experiences of marginalization. Graduate courses treat a variety of topics, among them, Biology and Society; Science and Technology During the Cold War; Diseases, Epidemics, and Society; History and Theory of Reproduction; Medicine and Law; Bodies, Sexuality, and Health; Comparative Public Health; Race and Medicine; Bioethics; Disabilities; Historiography of Science and Medicine, Medicine and the Movies; Madness and Society; Sex and Science; and History of Information."
Academics,"The History Department at Illinois has a significant institutional commitment to history of science, technology, and medicine, including dedicated funding opportunities (graduate fellowships and assistantships), events, and other resources for students with interests in this area. Graduate students find that the field of science, technology and medicine readily lends itself to studying history through a variety of innovative and interdisciplinary methods as well as comparative and transnational frameworks. Dissertation topics are wide-ranging, including leprosy and the American Empire; the environment and health in the U.S. West; birth control clinics; the atomic bomb; venereal disease films; bioethics and medical experimentation in the global south; psychiatry and race; nutrition and hygiene in Germany; ecology and race in the Indian Ocean world; children with disabilities; sex education; and rivers and people in nineteenth-century St. Petersburg. Our students have been awarded prestigious national grants from the National Science Foundation (NSF), Social Sciences Research Council (SSRC), and the Pew foundation, as well as University and other fellowships for their research."
Academics,"Graduate education in the field is further enriched through shared cross-disciplinary intellectual projects—such as neuroscience and history research on collective memory and a collaborative exhibition of graphic arts from the 1970s women’s health movement—reading groups, and courses with faculty and students in other disciplines. Those include
African American Studies
,
Art and Design
,
English
,
the Institute for Communications Research (ICR)
,
Gender and Women's Studies Program (GWS)
,
Latina/Latino Studies
,
Library and Information Science
, and
Urban and Regional Planning
. The history department hosts an interdisciplinary reading group with graduate students and professors on medicine, science and visual media."
Academics,"The University of Illinois Library is the third largest academic library in the United States; it holds government documents, full runs of medical and scientific journals, newspapers, an advertisement collection, film, and archival records from all parts of the globe. Other resources include:
the Illinois Program for Research in the Humanities (IPRH)
, the IPRH BioHumanities Initiative,
the National Center for Supercomputing Applications
;
the Beckman Institute
;
the College of Medicine
; and the Advanced Information Technologies Group. Finally, researchers enjoy proximity to state, local, and a variety of medical and science archives in the state capitol and Chicago."
